"Response ID","Date submitted","Last page","Start language","Seed","Date started","Date last action","Referrer URL","Do you believe that pandemic Covid-19 exists in your area? ","What is your firm belief about Covid-19?","In your opinion what is the best way to avoid /fight the pandemic?","On a scale of 1-5 (where 1 is highly affected and 5 is not affected) how much do you think your family and livelihoods are affected by covid-19 pandemic problem?","Which of the following are the symptoms of Covid-19?","In case you feel any of the above symptoms what will be your first reaction","Which of the following statements do you agree with?","In your opinion what kind of information regarding Covid-19 is most reliable and should be followed most?","Do you think women are most vulnerable to the issues and risks associated with Covid-19 and its social and economic impacts?","Do you know about official government helpline numbers to get CovidOVID-19 related information and support? ","On a scale of 1-5 how accessible are government services and facilities on covid-19 for you?","In your opinion, how should government support citizens to fight against coronavirus?","In your opinion, what role can you play in fighting Coronavirus? ","Which of the following preventive measures do you follow to keep yourself and your family safe from contracting the virus? ","If the government runs a Coronavirus vaccination campaign in your district, would you immunize yourself?","Do you find too much fake news, rumors, and misinformation on Covid-19 circulating in your community? ","Do you think that local community awareness programs on Covid-19 can help build better community response against the pandemic?"
"29","2021-11-08 10:39:49","1","en","1108433495","2021-11-08 10:34:34","2021-11-08 10:39:49","","Yes","It is a fatal pandemic preventable through SoPs","All of above","3","Coughing and sneezing","Visit government hospital","Covid-19 is a serious threat to human health and safety in present times.","Information shared by government health authorities.","Yes","No, I haven’t heard about","5","Free mass testing facilities at primary health care centers","Follow SOPs of government","Maintain social distancing","Yes","No","Yes"
"30","2021-11-08 11:02:43","1","en","474255782","2021-11-08 10:56:54","2021-11-08 11:02:43","","Yes","It is a fatal pandemic preventable through SoPs","I don’t care","4","Loss of smell or taste","Getting tested for Covid","There is no treatment for Covid-19, we should only take preventive measures.","Information shared by government health authorities.","Maybe","I have heard about it through other sources","3","Free mass testing facilities at primary health care centers","Follow SOPs of government","Frequently disinfect homes, shops, offices, surfaces, etc. ","","Yes","Yes"
"31","2021-11-08 11:24:28","1","en","784570108","2021-11-08 11:19:07","2021-11-08 11:24:28","","Yes","It is a fatal pandemic preventable through SoPs","All of above","4","Body and headache","Getting tested for Covid","We must get a vaccine to prevent us from getting Covid-19.","Information shared by government health authorities.","Maybe","Yes, I learned it through ALPs awareness sessions and IEC materials delivered in our area","4","Free mass vaccinations","Follow SOPs of government","Wear a mask when going out ","Yes","Maybe","Yes"
"32","","","en","696493090","2021-11-08 12:29:02","2021-11-08 12:29:02","","","","","","","","","","","","","","","","","",""
"33","","","en","992048704","2021-11-08 12:45:26","2021-11-08 12:45:26","","","","","","","","","","","","","","","","","",""
"34","2021-11-08 13:29:19","1","en","1276204321","2021-11-08 13:19:21","2021-11-08 13:29:19","","No","It is a fatal pandemic preventable through SoPs","All of above","3","Loss of smell or taste","Taking home remedies","We must get a vaccine to prevent us from getting Covid-19.","Information shared by friends and family","Yes","I have heard about this but don’t know the helpline number","3","Free mass vaccinations","Follow SOPs of government","Wear a mask when going out ","Yes","No","Yes"
"35","2021-11-08 19:16:48","1","en","498362959","2021-11-08 19:12:37","2021-11-08 19:16:48","","Yes","It is a fatal pandemic preventable through SoPs","All of above","2","Difficult breathing","Getting tested for Covid","Covid-19 can be avoided by taking precautionary measures, i.e wearing mask, social distancing, sanitizing, etc.","Information shared by government health authorities.","Yes","I have heard about it through other sources","2","Free mass testing facilities at primary health care centers","Follow SOPs of government","Wear a mask when going out ","Yes","Yes","Yes"
"36","2021-11-09 04:28:01","1","en","699599088","2021-11-09 04:23:18","2021-11-09 04:28:01","","Maybe","It is a fatal pandemic preventable through SoPs","All of above","2","Loss of smell or taste","Getting tested for Covid","We must get a vaccine to prevent us from getting Covid-19.","I don’t know","Maybe","Yes, I learned it through ALPs awareness sessions and IEC materials delivered in our area","4","Free mass vaccinations","Follow SOPs of government","Wear a mask when going out ","Yes","Yes","Yes"
"37","2021-11-09 07:05:43","1","en","1000329787","2021-11-09 07:03:02","2021-11-09 07:05:43","","Maybe","It is a fatal pandemic preventable through SoPs","All of above","1","I don’t know","Self-quarantine","Covid-19 is a serious threat to human health and safety in present times.","Information shared by government health authorities.","No","I have heard about it through other sources","2","Free mass vaccinations","Follow SOPs of government","Wear a mask when going out ","Yes","Yes",""
"38","2021-11-09 07:29:56","1","en","653094905","2021-11-09 07:23:45","2021-11-09 07:29:56","","Maybe","It is a fatal pandemic preventable through SoPs","All of above","1","Loss of smell or taste","Getting tested for Covid","There is no treatment for Covid-19, we should only take preventive measures.","Information shared by government health authorities.","Maybe","No, I haven’t heard about","5","Control prices and market for food and medicine","Follow SOPs of government","Wear a mask when going out ","Yes","Yes","Yes"

